Title,Status,Priority,Size,Iteration,Start date,End date,Labels
"[P0] Исследовать API Нетологии (DevTools Network)","In Progress","P0","Medium","Sprint 1: Май","2026-05-20","2026-05-22","research"
"[P0] Создать netology_api_client.py на httpx.AsyncClient","Todo","P0","Medium","Sprint 1: Май","2026-05-22","2026-05-24","backend"
"[P0] SQLite кэш структуры + content-addressable dedup","Todo","P0","Medium","Sprint 1: Май","2026-05-24","2026-05-26","backend"
"[P0] Оптимизация скорости: parallel LLM + VTT-only","Todo","P0","Medium","Sprint 1: Май","2026-05-26","2026-05-28","optimization"
"[P0] Прогон теста: API vs Playwright скорость","Todo","P0","Small","Sprint 1: Май","2026-05-28","2026-05-29","testing"
"[P1] PostgreSQL схема + миграции","Todo","P1","Medium","Sprint 1: Май","2026-05-29","2026-06-02","backend"
"[P1] Перенос конспектов из файлов в БД","Todo","P1","Medium","Sprint 2: Июнь","2026-06-02","2026-06-05","backend"
"[P1] Трекер дедлайнов: сбор из Нетологии","Todo","P1","Large","Sprint 2: Июнь","2026-06-05","2026-06-12","feature"
"[P1] Напоминания (3д / 1д / 3ч)","Todo","P1","Medium","Sprint 2: Июнь","2026-06-12","2026-06-16","feature"
"[P1] Telegram Mini App: прототип интерфейса","Todo","P1","Large","Sprint 2: Июнь","2026-06-16","2026-06-23","frontend"
"[P1] Mini App: вкладка Конспекты (чтение из БД)","Todo","P1","Medium","Sprint 2: Июнь","2026-06-23","2026-06-27","frontend"
"[P2] AI-сортировка сообщений из ЛК","Todo","P2","Large","Sprint 3: Июль","2026-07-01","2026-07-10","feature"
"[P2] Еженедельные сводки прогресса","Todo","P2","Medium","Sprint 3: Июль","2026-07-10","2026-07-17","feature"
"[P2] Геймификация","Backlog","P2","Large","Sprint 4: Август","2026-08-01","2026-08-15","feature"
"[P2] Генерация шпаргалок по предмету","Backlog","P2","Medium","Sprint 4: Август","2026-08-10","2026-08-20","feature"
"[P2] Интеграция с учебной почтой","Backlog","P2","Large","Sprint 4: Август","2026-08-15","2026-08-31","integration"
"[P3] AI-репетитор","Backlog","P3","Large","Sprint 5: Сентябрь","2026-09-01","2026-09-20","feature"
"[P3] Умный планировщик нагрузки","Backlog","P3","Large","Sprint 5: Сентябрь","2026-09-15","2026-09-30","feature"
"[P3] Chrome Extension для скрейпинга","Backlog","P3","Large","Sprint 5: Сентябрь","2026-09-20","2026-10-10","frontend"
"[DONE] v0.8.3: Генерация конспектов","Done","P0","Large","Sprint 0","2026-05-01","2026-05-19","release"
"[DONE] Финансовая модель v2","Done","P1","Medium","Sprint 0","2026-05-18","2026-05-19","docs"
"[DONE] Pytest + Black + Logging + README","Done","P0","Medium","Sprint 0","2026-05-20","2026-05-21","infrastructure"
"[DONE] Папка docs/","Done","P1","Small","Sprint 0","2026-05-21","2026-05-21","structure"
